Porto Alegre;
Data;Hora (UTC);Temp. [Hora] (C);Umi. (%);Pressao (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Nebulosidade (Decimos);Insolacao (h);Temp. Max. [Diaria] (h);Temp. Min. [Diaria] (h);Chuva [Diaria] (mm);
16/01/2000;1200;27,2;75,0;1002,1;1,6;14,0;7,0;;;23,0;0,0;
16/01/2000;1800;33,7;56,0;999,8;1,6;36,0;6,0;;;;;
17/01/2000;0000;24,4;94,0;1000,0;0,7;5,0;10,0;5,60;33,5;;;
17/01/2000;1200;27,6;76,0;1002,2;1,6;36,0;7,0;;;24,4;3,2;
17/01/2000;1800;28,0;77,0;1003,4;5,0;18,0;10,0;;;;;
18/01/2000;0000;25,6;90,0;1007,3;2,0;18,0;8,0;0,80;27,2;;;
18/01/2000;1200;24,8;84,0;1010,0;1,3;9,0;10,0;;;23,2;2,3;
18/01/2000;1800;26,9;68,0;1009,0;3,3;14,0;10,0;;;;;
19/01/2000;0000;23,2;77,0;1008,7;0,7;14,0;1,0;11,60;30,0;;;
19/01/2000;1200;25,0;65,0;1010,4;2,0;14,0;3,0;;;18,0;0,0;
19/01/2000;1800;29,1;53,0;1007,8;3,6;14,0;5,0;;;;;
20/01/2000;0000;22,6;77,0;1007,9;1,6;14,0;0,0;10,30;32,8;;;
20/01/2000;1200;25,4;64,0;1005,8;1,3;9,0;0,0;;;18,6;0,0;
20/01/2000;1800;31,4;53,0;1001,9;1,3;27,0;7,0;;;;;
21/01/2000;0000;24,0;76,0;1003,2;1,6;14,0;0,0;11,20;35,8;;;
21/01/2000;1200;26,0;69,0;1003,6;1,6;14,0;0,0;;;19,2;0,0;
21/01/2000;1800;34,5;47,0;1000,7;3,6;32,0;3,0;;;;;
22/01/2000;0000;27,8;67,0;1000,0;0,8;32,0;8,0;7,00;32,6;;;
22/01/2000;1200;29,6;64,0;1002,8;2,8;36,0;3,0;;;16,8;0,0;
22/01/2000;1800;31,3;58,0;1003,6;4,6;18,0;8,0;;;;;
23/01/2000;0000;24,8;80,0;1007,2;2,0;23,0;10,0;0,10;26,8;;;
23/01/2000;1200;23,4;82,0;1009,1;2,5;9,0;10,0;;;22,0;0,0;
23/01/2000;1800;26,5;68,0;1007,3;3,0;9,0;10,0;;;;;
24/01/2000;0000;23,2;80,0;1007,3;1,3;14,0;10,0;9,00;28,8;;;
24/01/2000;1200;25,2;69,0;1009,3;5,8;9,0;3,0;;;19,8;0,0;
24/01/2000;1800;27,4;61,0;1006,8;4,0;14,0;9,0;;;;;
25/01/2000;0000;23,9;84,0;1007,0;2,5;9,0;4,0;1,60;23,9;;;
25/01/2000;1200;21,2;97,0;1006,2;1,5;9,0;10,0;;;18,0;25,0;
25/01/2000;1800;22,8;76,0;1007,1;3,6;9,0;10,0;;;;;
26/01/2000;0000;20,0;92,0;1009,3;1,6;18,0;0,0;10,40;27,4;;;
26/01/2000;1200;24,3;61,0;1011,1;3,3;14,0;5,0;;;17,0;3,4;
26/01/2000;1800;26,8;50,0;1010,0;3,6;14,0;5,0;;;;;
27/01/2000;0000;21,2;76,0;1010,9;0,8;14,0;0,0;10,40;27,8;;;
27/01/2000;1200;24,4;67,0;1012,0;1,6;18,0;6,0;;;17,2;0,0;
27/01/2000;1800;27,4;55,0;1010,3;2,0;23,0;7,0;;;;;
28/01/2000;0000;21,0;81,0;1010,2;2,3;9,0;0,0;11,30;28,4;;;
28/01/2000;1200;23,6;61,0;1012,0;1,6;18,0;0,0;;;17,2;0,0;
28/01/2000;1800;27,8;49,0;1009,3;3,0;9,0;5,0;;;;;
29/01/2000;0000;21,4;71,0;1008,0;1,3;14,0;0,0;10,60;32,3;;;
29/01/2000;1200;24,0;66,0;1009,3;1,3;14,0;6,0;;;18,6;0,0;
29/01/2000;1800;32,0;49,0;1005,0;1,6;9,0;5,0;;;;;
30/01/2000;0000;23,6;76,0;1005,0;3,6;9,0;0,0;6,30;32,7;;;
30/01/2000;1200;26,8;65,0;1007,7;1,3;14,0;3,0;;;20,6;0,0;
30/01/2000;1800;32,6;53,0;1006,2;2,5;9,0;10,0;;;;;
31/01/2000;0000;24,5;78,0;1006,4;1,3;14,0;10,0;0,90;27,2;;;
31/01/2000;1200;22,5;93,0;1008,2;1,3;14,0;10,0;;;21,0;2,7;
31/01/2000;1800;26,4;71,0;1005,0;1,6;5,0;9,0;;;;;
01/02/2000;0000;21,8;89,0;1005,0;3,1;14,0;10,0;1,10;27,0;;;
01/02/2000;1200;21,6;93,0;1005,4;3,0;9,0;10,0;;;19,4;2,7;
01/02/2000;1800;25,5;70,0;1003,3;3,0;9,0;8,0;;;;;
02/02/2000;0000;21,6;92,0;1004,0;1,3;14,0;10,0;1,70;29,4;;;
02/02/2000;1200;24,9;81,0;1002,9;1,3;14,0;8,0;;;20,8;0,3;
02/02/2000;1800;29,2;64,0;1001,7;1,3;9,0;9,0;;;;;
03/02/2000;0000;23,0;89,0;1001,9;0,7;14,0;5,0;1,00;27,4;;;
03/02/2000;1200;25,0;80,0;1000,1;1,0;27,0;10,0;;;20,1;0,0;
03/02/2000;1800;25,4;86,0;999,9;0,8;32,0;10,0;;;;;
04/02/2000;0000;22,6;92,0;999,9;2,0;18,0;10,0;6,80;27,4;;;
04/02/2000;1200;22,7;92,0;1000,2;2,1;23,0;6,0;;;18,6;6,3;
04/02/2000;1800;27,0;64,0;1002,1;2,5;23,0;5,0;;;;;
05/02/2000;0000;22,4;82,0;1003,7;1,3;18,0;6,0;11,00;29,8;;;
05/02/2000;1200;23,6;76,0;1008,0;3,3;32,0;2,0;;;18,2;0,0;
05/02/2000;1800;28,9;54,0;1006,6;1,3;18,0;5,0;;;;;
06/02/2000;0000;23,6;83,0;1007,2;0,8;14,0;0,0;10,20;31,4;;;
06/02/2000;1200;24,2;80,0;1010,4;1,3;14,0;5,0;;;19,4;0,0;
06/02/2000;1800;31,0;52,0;1009,0;2,8;18,0;5,0;;;;;
07/02/2000;0000;23,2;84,0;1010,3;0,8;14,0;2,0;11,00;30,1;;;
07/02/2000;1200;26,0;66,0;1011,9;1,6;14,0;0,0;;;19,6;0,0;
07/02/2000;1800;29,3;56,0;1009,9;4,5;9,0;4,0;;;;;
08/02/2000;0000;22,2;80,0;1010,0;4,0;9,0;0,0;11,10;32,4;;;
08/02/2000;1200;25,8;66,0;1010,4;2,0;9,0;0,0;;;19,2;0,0;
08/02/2000;1800;32,0;51,0;1006,8;2,8;14,0;3,0;;;;;
09/02/2000;0000;23,4;82,0;1006,0;0,8;14,0;0,0;9,20;33,6;;;
09/02/2000;1200;26,8;68,0;1007,0;1,3;9,0;4,0;;;20,5;0,0;
09/02/2000;1800;33,0;51,0;1002,1;1,5;9,0;9,0;;;;;
10/02/2000;0000;22,8;92,0;1003,9;0,8;32,0;10,0;11,20;32,2;;;
10/02/2000;1200;24,6;74,0;1003,8;1,3;9,0;0,0;;;20,4;31,9;
10/02/2000;1800;30,6;58,0;1001,3;2,6;32,0;4,0;;;;;
11/02/2000;0000;25,4;77,0;1001,9;0,7;14,0;0,0;9,60;32,8;;;
11/02/2000;1200;26,3;81,0;1003,1;1,3;27,0;3,0;;;21,3;0,0;
11/02/2000;1800;32,4;57,0;1002,0;0,7;9,0;4,0;;;;;
12/02/2000;0000;25,0;83,0;1003,1;1,6;9,0;0,0;10,70;36,8;;;
12/02/2000;1200;27,8;73,0;1002,3;0,5;18,0;3,0;;;21,5;0,0;
12/02/2000;1800;35,6;49,0;1000,6;0,7;32,0;3,0;;;;;
13/02/2000;0000;28,0;75,0;1001,6;1,3;14,0;0,0;6,30;31,2;;;
13/02/2000;1200;27,9;79,0;1006,2;2,3;27,0;9,0;;;23,5;0,0;
13/02/2000;1800;30,8;53,0;1005,8;1,0;14,0;3,0;;;;;
14/02/2000;0000;24,8;80,0;1008,7;3,3;18,0;7,0;0,00;25,2;;;
14/02/2000;1200;23,4;88,0;1012,3;5,0;18,0;10,0;;;20,4;6,6;
14/02/2000;1800;23,0;78,0;1013,0;7,3;18,0;10,0;;;;;
15/02/2000;0000;20,6;87,0;1014,6;3,3;18,0;10,0;0,30;23,6;;;
15/02/2000;1200;22,0;86,0;1012,9;5,0;14,0;10,0;;;20,1;0,4;
15/02/2000;1800;21,2;89,0;1013,7;2,5;18,0;10,0;;;;;
16/02/2000;0000;21,0;79,0;1015,0;1,5;14,0;10,0;10,50;27,4;;;
16/02/2000;1200;23,2;65,0;1016,2;3,0;18,0;3,0;;;17,6;1,8;
16/02/2000;1800;26,0;54,0;1016,0;6,0;14,0;7,0;;;;;
17/02/2000;0000;21,4;76,0;1016,9;1,6;14,0;3,0;10,40;27,8;;;
17/02/2000;1200;23,1;66,0;1016,9;3,0;9,0;2,0;;;18,0;0,1;
17/02/2000;1800;27,2;50,0;1015,3;2,0;9,0;5,0;;;;;
18/02/2000;0000;21,0;80,0;1015,8;3,5;14,0;4,0;10,80;29,0;;;
18/02/2000;1200;23,7;65,0;1015,7;3,1;14,0;0,0;;;18,4;0,0;
18/02/2000;1800;28,2;49,0;1014,2;2,0;14,0;4,0;;;;;
19/02/2000;0000;21,4;73,0;1015,7;3,3;14,0;0,0;10,10;29,8;;;
19/02/2000;1200;23,4;67,0;1016,0;0,5;14,0;0,0;;;17,5;0,0;
19/02/2000;1800;29,4;43,0;1013,3;2,1;5,0;6,0;;;;;
20/02/2000;0000;21,8;73,0;1014,1;1,3;14,0;1,0;9,20;30,6;;;
20/02/2000;1200;24,2;69,0;1014,4;0,5;18,0;7,0;;;18,5;0,0;
20/02/2000;1800;30,1;48,0;1011,6;2,3;9,0;9,0;;;;;
21/02/2000;0000;22,4;75,0;1011,0;1,3;14,0;8,0;3,90;29,2;;;
21/02/2000;1200;23,5;73,0;1010,2;0,7;14,0;8,0;;;19,8;0,0;
21/02/2000;1800;28,7;60,0;1008,3;1,6;32,0;8,0;;;;;
22/02/2000;0000;24,0;76,0;1009,0;0,0;0,0;2,0;8,00;30,0;;;
22/02/2000;1200;24,2;79,0;1009,9;1,3;18,0;4,0;;;20,0;0,0;
22/02/2000;1800;28,6;60,0;1007,8;3,5;18,0;8,0;;;;;
23/02/2000;0000;23,6;79,0;1008,9;1,6;9,0;5,0;8,70;30,8;;;
23/02/2000;1200;23,6;80,0;1008,2;1,3;32,0;6,0;;;20,2;0,0;
23/02/2000;1800;29,5;59,0;1006,6;1,6;23,0;5,0;;;;;
24/02/2000;0000;21,8;87,0;1007,3;0,7;14,0;5,0;9,00;33,0;;;
24/02/2000;1200;22,9;85,0;1007,6;1,6;27,0;3,0;;;19,3;4,6;
24/02/2000;1800;32,4;45,0;1006,0;0,8;23,0;4,0;;;;;
25/02/2000;0000;24,4;73,0;1007,4;2,0;9,0;3,0;7,90;32,4;;;
25/02/2000;1200;25,6;73,0;1007,3;2,0;9,0;6,0;;;20,3;0,0;
25/02/2000;1800;32,0;50,0;1006,7;0,8;9,0;6,0;;;;;
26/02/2000;0000;23,6;75,0;1008,7;2,5;14,0;6,0;3,70;32,0;;;
26/02/2000;1200;23,0;84,0;1009,1;0,8;14,0;10,0;;;21,4;0,0;
26/02/2000;1800;30,5;59,0;1006,2;1,3;14,0;6,0;;;;;
27/02/2000;0000;24,7;83,0;1007,6;2,3;9,0;0,0;5,10;36,3;;;
27/02/2000;1200;26,0;79,0;1005,0;2,0;14,0;7,0;;;22,8;0,0;
27/02/2000;1800;34,8;51,0;1001,8;2,1;14,0;7,0;;;;;
28/02/2000;0000;24,4;86,0;1002,7;3,0;5,0;10,0;0,00;26,4;;;
28/02/2000;1200;24,0;93,0;1006,0;2,1;14,0;9,0;;;21,8;53,1;
28/02/2000;1800;26,1;74,0;1007,0;4,0;18,0;10,0;;;;;
29/02/2000;0000;22,6;87,0;1010,3;2,3;14,0;10,0;0,00;23,0;;;
29/02/2000;1200;20,9;80,0;1012,9;2,6;14,0;10,0;;;19,6;0,6;
29/02/2000;1800;22,2;85,0;1013,8;1,8;14,0;10,0;;;;;
01/03/2000;0000;21,2;80,0;1014,1;0,8;14,0;10,0;0,00;23,5;;;
01/03/2000;1200;21,5;90,0;1013,6;2,0;14,0;10,0;;;20,2;2,3;
01/03/2000;1800;23,0;91,0;1012,4;0,9;14,0;10,0;;;;;
02/03/2000;0000;22,8;92,0;1011,6;0,3;14,0;8,0;8,00;32,2;;;
02/03/2000;1200;24,0;88,0;1010,6;0,0;0,0;5,0;;;22,0;3,3;
02/03/2000;1800;31,4;63,0;1007,6;0,7;14,0;8,0;;;;;
03/03/2000;0000;25,6;88,0;1006,3;1,6;14,0;0,0;3,80;30,0;;;
03/03/2000;1200;26,8;76,0;1007,4;0,5;9,0;6,0;;;21,4;0,0;
03/03/2000;1800;26,8;71,0;1007,7;1,3;14,0;9,0;;;;;
04/03/2000;0000;23,2;87,0;1009,0;0,8;23,0;10,0;0,10;25,8;;;
04/03/2000;1200;22,4;92,0;1009,3;0,0;0,0;10,0;;;21,6;0,0;
04/03/2000;1800;24,2;95,0;1008,0;0,0;0,0;10,0;;;;;
05/03/2000;0000;22,8;96,0;1007,4;0,7;32,0;10,0;6,80;31,3;;;
05/03/2000;1200;22,6;96,0;1009,4;0,8;9,0;10,0;;;21,0;11,7;
05/03/2000;1800;30,6;69,0;1007,2;2,0;9,0;5,0;;;;;
06/03/2000;0000;24,4;86,0;1010,0;0,0;0,0;10,0;0,20;24,6;;;
06/03/2000;1200;22,8;92,0;1010,2;1,0;14,0;10,0;;;21,8;7,3;
06/03/2000;1800;24,0;85,0;1009,2;1,5;14,0;10,0;;;;;
07/03/2000;0000;22,4;91,0;1010,7;0,8;18,0;5,0;9,00;26,2;;;
07/03/2000;1200;24,2;81,0;1012,1;2,3;14,0;5,0;;;16,8;18,4;
07/03/2000;1800;25,6;60,0;1011,7;4,8;18,0;4,0;;;;;
08/03/2000;0000;20,0;83,0;1012,7;0,7;18,0;3,0;3,00;25,6;;;
08/03/2000;1200;19,9;84,0;1013,9;1,0;14,0;9,0;;;16,5;1,3;
08/03/2000;1800;24,8;63,0;1012,0;3,0;18,0;7,0;;;;;
09/03/2000;0000;20,4;74,0;1012,9;0,7;14,0;0,0;6,50;26,4;;;
09/03/2000;1200;22,8;69,0;1016,0;1,6;9,0;3,0;;;17,0;0,0;
09/03/2000;1800;26,4;58,0;1012,3;0,8;14,0;7,0;;;;;
10/03/2000;0000;20,2;77,0;1012,0;2,8;14,0;2,0;7,90;28,6;;;
10/03/2000;1200;21,6;74,0;1012,0;1,3;18,0;4,0;;;17,1;0,0;
10/03/2000;1800;27,4;61,0;1009,3;0,7;23,0;8,0;;;;;
11/03/2000;0000;20,8;80,0;1009,3;1,6;14,0;3,0;5,00;27,4;;;
11/03/2000;1200;21,3;81,0;1009,7;0,3;14,0;7,0;;;18,2;0,0;
11/03/2000;1800;27,2;61,0;1007,9;1,3;23,0;9,0;;;;;
12/03/2000;0000;20,8;80,0;1009,3;1,3;18,0;3,0;5,90;27,2;;;
12/03/2000;1200;21,2;85,0;1007,7;3,3;18,0;7,0;;;18,4;0,0;
12/03/2000;1800;26,8;57,0;1006,0;0,8;14,0;4,0;;;;;
13/03/2000;0000;21,0;81,0;1006,7;2,1;18,0;2,0;10,40;29,0;;;
13/03/2000;1200;23,3;74,0;1006,7;0,0;0,0;3,0;;;18,0;0,0;
13/03/2000;1800;28,4;58,0;1002,7;4,0;18,0;4,0;;;;;
14/03/2000;0000;21,6;83,0;1003,9;2,1;14,0;3,0;8,80;31,4;;;
14/03/2000;1200;23,8;73,0;1005,7;0,0;0,0;1,0;;;18,8;0,0;
14/03/2000;1800;30,6;57,0;1002,7;2,0;18,0;5,0;;;;;
15/03/2000;0000;23,4;82,0;1004,7;0,7;9,0;0,0;8,60;32,0;;;
15/03/2000;1200;21,6;94,0;1006,7;0,8;23,0;8,0;;;20,4;0,0;
15/03/2000;1800;31,8;58,0;1005,2;0,0;0,0;3,0;;;;;
16/03/2000;0000;24,8;80,0;1005,3;1,0;14,0;0,0;9,80;33,4;;;
16/03/2000;1200;24,8;67,0;1007,3;1,5;32,0;0,0;;;20,6;0,0;
16/03/2000;1800;32,6;48,0;1003,0;0,8;32,0;1,0;;;;;
17/03/2000;0000;24,8;80,0;1003,3;1,6;14,0;5,0;6,90;30,2;;;
17/03/2000;1200;22,2;90,0;1003,0;0,8;36,0;7,0;;;19,8;9,4;
17/03/2000;1800;28,4;72,0;1001,0;2,5;18,0;4,0;;;;;
18/03/2000;0000;23,4;81,0;1006,3;3,6;18,0;5,0;10,10;25,8;;;
18/03/2000;1200;20,8;73,0;1009,3;1,0;27,0;5,0;;;17,6;0,0;
18/03/2000;1800;25,6;51,0;1007,8;2,1;14,0;4,0;;;;;
19/03/2000;0000;20,4;72,0;1009,3;0,7;14,0;7,0;10,20;26,7;;;
19/03/2000;1200;20,9;72,0;1011,2;0,0;0,0;1,0;;;15,0;0,0;
19/03/2000;1800;25,8;52,0;1009,4;3,0;9,0;5,0;;;;;
20/03/2000;0000;20,0;70,0;1009,6;2,0;14,0;0,0;10,50;30,1;;;
20/03/2000;1200;23,0;62,0;1011,9;0,8;9,0;2,0;;;16,8;0,0;
20/03/2000;1800;29,9;48,0;1008,7;1,5;14,0;3,0;;;;;
21/03/2000;0000;21,6;78,0;1009,1;2,3;14,0;0,0;4,20;28,2;;;
21/03/2000;1200;22,7;72,0;1012,3;0,0;0,0;8,0;;;17,4;0,0;
21/03/2000;1800;27,7;62,0;1009,8;1,5;9,0;10,0;;;;;
22/03/2000;0000;24,6;83,0;1011,9;1,3;9,0;10,0;6,00;27,2;;;
22/03/2000;1200;22,9;87,0;1013,4;1,3;14,0;10,0;;;21,5;0,0;
22/03/2000;1800;27,1;67,0;1012,7;2,3;14,0;5,0;;;;;
23/03/2000;0000;22,4;87,0;1011,3;1,6;14,0;8,0;9,90;32,8;;;
23/03/2000;1200;23,7;80,0;1009,8;1,0;9,0;1,0;;;20,5;0,0;
23/03/2000;1800;31,6;52,0;1005,4;0,7;9,0;4,0;;;;;
24/03/2000;0000;24,0;79,0;1004,9;1,6;9,0;0,0;4,20;25,8;;;
24/03/2000;1200;18,3;94,0;1006,4;4,3;23,0;10,0;;;17,0;9,7;
24/03/2000;1800;24,2;73,0;1006,0;2,8;32,0;9,0;;;;;
25/03/2000;0000;21,2;89,0;1010,7;0,8;32,0;3,0;9,80;27,3;;;
25/03/2000;1200;21,8;77,0;1013,7;1,3;14,0;5,0;;;16,8;10,5;
25/03/2000;1800;26,5;55,0;1011,4;3,1;14,0;7,0;;;;;
26/03/2000;0000;20,3;75,0;1011,0;2,5;14,0;0,0;9,80;30,2;;;
26/03/2000;1200;22,0;69,0;1008,3;2,5;14,0;0,0;;;17,0;0,0;
26/03/2000;1800;30,2;51,0;1004,8;1,0;9,0;3,0;;;;;
27/03/2000;0000;22,6;85,0;1002,0;0,0;0,0;3,0;1,70;26,3;;;
27/03/2000;1200;23,5;78,0;1001,7;1,3;36,0;9,0;;;20,0;4,7;
27/03/2000;1800;20,6;94,0;1002,0;3,0;27,0;10,0;;;;;
28/03/2000;0000;20,0;94,0;1005,6;1,3;32,0;5,0;9,50;23,2;;;
28/03/2000;1200;17,0;70,0;1013,2;1,0;32,0;2,0;;;15,8;8,0;
28/03/2000;1800;22,7;44,0;1012,9;1,3;18,0;2,0;;;;;
29/03/2000;0000;16,0;85,0;1014,8;0,3;9,0;0,0;3,90;22,8;;;
29/03/2000;1200;15,5;79,0;1018,2;0,0;0,0;0,0;;;11,8;0,0;
29/03/2000;1800;21,6;64,0;1015,0;3,3;14,0;9,0;;;;;
30/03/2000;0000;19,2;82,0;1014,4;1,6;14,0;9,0;7,50;28,6;;;
30/03/2000;1200;21,6;71,0;1014,0;0,0;0,0;4,0;;;17,8;0,0;
30/03/2000;1800;28,0;55,0;1010,3;0,8;9,0;7,0;;;;;
31/03/2000;0000;22,2;85,0;1010,7;0,8;9,0;4,0;0,70;23,6;;;
31/03/2000;1200;19,8;96,0;1012,7;1,3;32,0;10,0;;;18,6;21,3;
31/03/2000;1800;22,4;80,0;1009,9;0,8;36,0;9,0;;;;;
01/04/2000;0000;21,0;90,0;1012,3;1,3;32,0;4,0;6,10;24,6;;;
01/04/2000;1200;21,5;89,0;1014,6;0,7;23,0;7,0;;;18,8;6,0;
01/04/2000;1800;24,2;68,0;1015,0;3,3;18,0;7,0;;;;;
02/04/2000;0000;18,8;88,0;1016,9;0,0;0,0;0,0;10,30;24,0;;;
02/04/2000;1200;20,1;75,0;1019,1;2,0;23,0;0,0;;;14,6;0,0;
02/04/2000;1800;23,2;60,0;1017,9;3,3;14,0;6,0;;;;;
03/04/2000;0000;18,2;86,0;1018,1;0,8;14,0;0,0;10,30;26,0;;;
03/04/2000;1200;20,8;71,0;1019,0;1,0;9,0;3,0;;;15,0;0,0;
03/04/2000;1800;25,3;53,0;1014,9;2,6;14,0;4,0;;;;;
04/04/2000;0000;19,2;82,0;1016,1;5,0;9,0;0,0;5,60;28,0;;;
04/04/2000;1200;20,5;72,0;1016,2;2,6;9,0;9,0;;;17,5;0,0;
04/04/2000;1800;27,8;50,0;1013,2;2,1;9,0;9,0;;;;;
05/04/2000;0000;22,8;76,0;1013,7;0,5;9,0;9,0;6,30;30,4;;;
05/04/2000;1200;21,0;81,0;1015,0;0,0;0,0;7,0;;;19,6;0,0;
05/04/2000;1800;29,3;57,0;1012,1;2,1;5,0;7,0;;;;;
06/04/2000;0000;24,4;78,0;1013,7;0,7;9,0;8,0;6,60;31,0;;;
06/04/2000;1200;24,4;70,0;1014,9;1,0;5,0;1,0;;;19,0;0,0;
06/04/2000;1800;30,9;56,0;1010,8;0,0;0,0;10,0;;;;;
07/04/2000;0000;24,4;83,0;1010,6;0,7;5,0;0,0;9,40;32,2;;;
07/04/2000;1200;24,8;68,0;1010,0;1,6;5,0;7,0;;;20,6;0,0;
07/04/2000;1800;31,4;55,0;1006,7;2,1;5,0;10,0;;;;;
08/04/2000;0000;25,2;80,0;1007,6;0,8;5,0;3,0;10,30;33,2;;;
08/04/2000;1200;25,2;69,0;1010,3;0,0;0,0;0,0;;;21,0;0,0;
08/04/2000;1800;33,0;48,0;1007,3;4,1;27,0;4,0;;;;;
09/04/2000;0000;26,2;80,0;1008,9;0,8;32,0;1,0;4,90;29,8;;;
09/04/2000;1200;23,6;89,0;1012,0;0,0;0,0;10,0;;;22,4;0,0;
09/04/2000;1800;29,2;69,0;1009,0;1,3;9,0;5,0;;;;;
10/04/2000;0000;23,2;89,0;1010,2;3,3;18,0;3,0;3,70;31,3;;;
10/04/2000;1200;22,0;98,0;1009,0;0,0;0,0;10,0;;;20,4;0,0;
10/04/2000;1800;31,0;67,0;1006,2;2,6;32,0;7,0;;;;;
11/04/2000;0000;26,0;88,0;1006,2;0,0;0,0;8,0;0,00;26,0;;;
11/04/2000;1200;21,6;95,0;1008,9;0,1;23,0;10,0;;;18,8;3,4;
11/04/2000;1800;21,7;93,0;1008,7;0,0;0,0;10,0;;;;;
12/04/2000;0000;18,8;96,0;1010,1;0,7;14,0;10,0;0,20;20,2;;;
12/04/2000;1200;17,0;96,0;1009,6;1,3;9,0;10,0;;;15,6;19,1;
12/04/2000;1800;19,6;86,0;1008,0;2,0;14,0;9,0;;;;;
13/04/2000;0000;17,6;93,0;1005,9;3,5;18,0;10,0;1,60;22,4;;;
13/04/2000;1200;16,8;95,0;1006,3;3,0;27,0;10,0;;;13,8;60,3;
13/04/2000;1800;22,1;79,0;1005,0;1,6;27,0;8,0;;;;;
